order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDK06344,2018-03-02,10:01:41,Breakfast,BK,"[('Cereal', 3), ('Coffee', 7)]",115.5,-37.8187409,144.9908463,0,5.691,10.3844149
ORDI09388,2018-04-27,11:43:05,Breakfast,NS,"[('Coffee', 10), ('Pancake', 4), ('Eggs', 2)]",216.0,-37.8124771,145.0038348,0,9.952,15.4616483
ORDB02810,2018-09-14,16:27:02,Dinner,TP,"[('Fish&Chips', 4), ('Shrimp', 7), ('Salmon', 4), ('Pasta', 1)]",709.5,-37.8006201,144.9559921,0,9.698,13.979229
ORDA00186,2018-02-14,09:21:07,Breakfast,BK,"[('Cereal', 2), ('Coffee', 2)]",57.0,-37.8234639,144.9701092,0,7.981,12.1129336
ORDC10248,2018-07-30,14:55:46,Lunch,NS,"[('Burger', 9), ('Salad', 10), ('Fries', 2), ('Steak', 4), ('Chicken', 6)]",847.0,-37.812159,144.973863,0,7.618,13.3224008
ORDK09000,2018-02-05,09:00:50,Breakfast,BK,"[('Eggs', 9), ('Pancake', 7), ('Coffee', 7), ('Cereal', 5)]",525.25,-37.8160136,144.9919545,0,5.41,10.2789923
ORDK08712,2018-05-13,12:23:39,Lunch,BK,"[('Steak', 9), ('Chicken', 1), ('Fries', 7), ('Burger', 4)]",645.0,-37.8084975,144.9589549,0,7.828,16.2017855
ORDC05249,2018-06-18,13:34:38,Lunch,NS,"[('Salad', 5), ('Burger', 7), ('Fries', 4), ('Steak', 5), ('Chicken', 5)]",736.0,-37.8035714,144.9264273,0,10.69,15.5904636
ORDC05038,2018-03-28,10:52:23,Breakfast,NS,"[('Eggs', 2), ('Cereal', 10)]",254.0,-37.7990413,144.9541571,0,7.607,12.3881297
ORDK04723,2018-11-09,18:18:35,Dinner,BK,"[('Fish&Chips', 7), ('Salmon', 9), ('Shrimp', 10), ('Pasta', 2)]",1209.0,-37.8129148,144.9857283,0,5.665,12.6490323
