order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI02669,2018-04-01,10:52:23,Breakfast,,"[('Pancake', 4), ('Eggs', 4)]",185.0,-37.8189236,144.9542636,0,9.167,16.290109
ORDY00148,2018-09-12,16:27:02,Dinner,TP,"[('Shrimp', 8), ('Fish&Chips', 10)]",782.0,-37.8063755,144.9416378,0,10.289,14.0647887
ORDK04385,2018-08-26,15:46:28,Lunch,BK,"[('Fries', 10), ('Salad', 10), ('Burger', 5)]",447.0,-37.8131151,144.9386009,0,10.398,18.6512536
ORDB00712,2018-10-01,16:57:27,Dinner,TP,"[('Pasta', 5), ('Fish&Chips', 1), ('Salmon', 6)]",418.5,-37.8247065,144.9531984,0,8.387,12.5387472
ORDC08170,2018-09-06,16:16:54,Dinner,NS,"[('Pasta', 4), ('Fish&Chips', 8), ('Shrimp', 2)]",498.0,-37.8190355,144.9769985,0,8.461,14.5352884
ORDC07390,2018-12-02,19:09:17,Dinner,NS,"[('Pasta', 2), ('Fish&Chips', 5)]",230.0,-37.8024048,144.9789446,0,6.961,14.952801411875953
ORDJ03245,2018-12-08,19:19:26,Dinner,TP,"[('Pasta', 7), ('Fish&Chips', 3), ('Salmon', 6), ('Shrimp', 2)]",651.5,-37.8241714,144.9537569,0,8.188,13.9719868
ORDX06912,2018-11-06,18:18:35,Dinner,BK,"[('Salmon', 5), ('Fish&Chips', 2)]",275.0,-37.8132791,144.9625643,0,7.714,14.9701944
ORDB07002,2018-04-12,11:22:49,Breakfast,TP,"[('Coffee', 8), ('Cereal', 10), ('Eggs', 8), ('Pancake', 7)]",615.75,-37.8007405,144.9439472,0,10.583,13.5576889
ORDI07737,2018-08-29,15:56:37,Lunch,NS,"[('Steak', 6), ('Chicken', 3), ('Fries', 8), ('Salad', 2), ('Burger', 5)]",651.4,-37.8104561,144.9613436,0,7.67,13.4232157
ORDC00656,2018-08-06,15:05:54,Lunch,NS,"[('Burger', 2), ('Fries', 6)]",134.0,-37.8119997,144.9656268,0,7.662,13.4710454
ORDJ03973,2018-12-04,19:09:17,Dinner,TP,"[('Salmon', 5), ('Shrimp', 7)]",583.0,-37.811672,145.0153872,0,12.738,16.322272584571763
ORDJ07521,2018-03-21,10:32:06,Breakfast,TP,"[('Eggs', 2), ('Pancake', 10), ('Coffee', 9), ('Cereal', 5)]",459.0,-37.8129377,144.9595872,0,8.482,10.9169517
ORDK08356,2018-10-24,17:48:10,Dinner,BK,"[('Pasta', 5), ('Fish&Chips', 2), ('Salmon', 3), ('Shrimp', 5)]",600.5,-37.8203784,144.9666014,0,7.9,14.6414807
ORDC10844,2018-08-27,15:46:28,Lunch,NS,"[('Fries', 2), ('Salad', 5)]",110.0,-37.8030797,144.9799799,0,7.118,12.5529849
ORDI00160,2018-03-31,10:52:23,Breakfast,NS,"[('Coffee', 8), ('Eggs', 8), ('Pancake', 10), ('Cereal', 4)]",562.5,-37.8246475,144.945698,0,10.385,16.978987
ORDC05440,2018-05-16,12:23:39,Lunch,NS,"[('Salad', 6), ('Fries', 9), ('Chicken', 3), ('Steak', 4)]",487.2,-37.8096383,144.9638164,0,7.42,12.4897841
ORDC10960,2018-03-31,10:52:23,Breakfast,NS,"[('Pancake', 2), ('Eggs', 7)]",202.5,-37.807125,144.9582598,0,7.801,14.4894891
ORDY09586,2018-12-26,19:49:51,Dinner,TP,"[('Fish&Chips', 3), ('Shrimp', 9)]",591.0,-37.7945465,144.9357497,0,13.361,16.8744235
ORDJ03340,2018-07-20,14:35:29,Lunch,,"[('Burger', 5), ('Salad', 6)]",258.2,-37.8223897,144.9551443,0,,11.4390229
